"","name","totdegree","indegree","outdegree","rescaled","eigenvector","eigen_derived","eigen_reflective","closeness","betweenness","bonacich"
"1","Eric Andersen",2,1,1,0.00769230769230769,0.0488364373742657,0.941176470588235,0.0588235294117647,0.444444444444444,0,0.0256172888556196
"2","John Barlow",6,3,3,0.0230769230769231,0.0776351190117273,0.884615384615385,0.115384615384615,0.470588235294118,0.75,-1.4217595314869
"3","Bob Bralove",10,5,5,0.0384615384615385,0.127706003439418,0.875,0.125,0.489795918367347,1.83333333333333,-1.38333359820348
"4","Andrew Charles",2,1,1,0.00769230769230769,0.0431746284084272,0.928571428571429,0.0714285714285714,0.421052631578947,0,-0.473919843828967
"5","John Dawson",4,2,2,0.0153846153846154,0.0797769362766867,0.904761904761905,0.0952380952380952,0.421052631578947,0,-1.1655866429307
"6","Willie Dixon",4,2,2,0.0153846153846154,0.0642380122505995,0.909090909090909,0.0909090909090909,0.452830188679245,0,0.268981532984009
"7","Jerry Garcia",20,10,10,0.0769230769230769,0.330587144741525,0.883720930232558,0.116279069767442,0.631578947368421,13.2333333333333,-1.21682122064195
"8","Donna Godchaux",12,6,6,0.0461538461538462,0.238342214172543,0.90625,0.09375,0.545454545454545,0,0.294598821839626
"9","Keith Godchaux",14,7,7,0.0538461538461538,0.273500640551288,0.905405405405405,0.0945945945945946,0.558139534883721,0.166666666666667,-0.0704475443529557
"10","Gerrit Graham",2,1,1,0.00769230769230769,0.0488364373742657,0.941176470588235,0.0588235294117647,0.444444444444444,0,0.0256172888556196
"11","Frank Guida",4,2,2,0.0153846153846154,0.0338872655451517,0.8,0.2,0.387096774193548,0,-0.070447544352955
"12","Mickey Hart",14,7,7,0.0538461538461538,0.273500640551288,0.905405405405405,0.0945945945945946,0.558139534883721,0.166666666666667,-0.070447544352956
"13","Robert Hunter",22,11,11,0.0846153846153846,0.323358071863187,0.875,0.125,0.648648648648649,30.45,-1.51142004248157
"14","Bill Kreutzmann",18,9,9,0.0692307692307692,0.321913071678831,0.894117647058824,0.105882352941176,0.615384615384615,3.06666666666667,-1.0246915542248
"15","Ned Lagin",2,1,1,0.00769230769230769,0.0431746284084272,0.928571428571429,0.0714285714285714,0.421052631578947,0,-0.473919843828966
"16","Phil Lesh",28,14,14,0.107692307692308,0.353909827159362,0.842696629213483,0.157303370786517,0.705882352941177,89.4,-1.25524715392537
"17","Peter Monk",2,1,1,0.00769230769230769,0.0431746284084272,0.928571428571429,0.0714285714285714,0.421052631578947,0,-0.473919843828968
"18","Brent Mydland",8,4,4,0.0307692307692308,0.108361724598414,0.888888888888889,0.111111111111111,0.51063829787234,6.16666666666667,-1.62669784233186
"19","Dave Parker",10,5,5,0.0384615384615385,0.201364967839632,0.913793103448276,0.0862068965517241,0.558139534883721,0,-1.90848801974369
"20","Robert Petersen",4,2,2,0.0153846153846154,0.0563940330010903,0.888888888888889,0.111111111111111,0.436363636363636,0,-1.31929037606443
"21","Pigpen",16,8,8,0.0615384615384615,0.24389245677897,0.885714285714286,0.114285714285714,0.6,44.2,-1.56265462019282
"22","Joe Royster",4,2,2,0.0153846153846154,0.0338872655451517,0.8,0.2,0.387096774193548,0,-0.0704475443529549
"23","Rob Wasserman",10,5,5,0.0384615384615385,0.126249348317819,0.871794871794872,0.128205128205128,0.489795918367347,1.83333333333333,-0.537963065968019
"24","Bob Weir",34,17,17,0.130769230769231,0.400320645395713,0.833333333333333,0.166666666666667,0.774193548387097,111.733333333333,-0.755710021240788
"25","Vince Welnick",8,4,4,0.0307692307692308,0.119264808200263,0.894736842105263,0.105263157894737,0.48,0,-1.06311748750823
